Car_Rental_Company,City,Pickup_Date,Car_Type,Price_Per_Day,Availability_Status,Additional_Info,Return_Date,Total_Days
Hertz,Hyderabad,2024-11-20,Convertible,4010,Booked,No Info,2024-12-02,12
ZoomCar,Bangalore,2024-12-16,SUV,2972,Booked,GPS Included,2024-12-21,5
Hertz,Jaipur,2024-11-28,SUV,3332,Available,No Info,2024-12-08,10
Drivezy,Pune,2025-07-02,Convertible,2682,Booked,No Info,2025-07-05,3
Carzonrent,Mumbai,2025-02-24,Luxury,3221,Booked,GPS Included,2025-03-02,6
Hertz,Pune,2025-04-07,Convertible,4911,Booked,Insurance Included,2025-04-20,13
Avis,Chennai,2024-12-16,Convertible,3282,Available,Unlimited Miles,2024-12-20,4
Drivezy,Delhi,2025-08-03,Luxury,3774,Booked,Unlimited Miles,2025-08-11,8
Ola Rentals,Chennai,2024-12-26,Convertible,3776,Booked,No Info,2025-01-10,15
Myles,Mumbai,2024-11-17,Luxury,2955,Available,Child Seat Available,2024-11-18,1
Drivezy,Chennai,2025-04-15,Sedan,4188,Available,Unlimited Miles,2025-04-22,7
Drivezy,Jaipur,2025-06-17,Sedan,3537,Available,Child Seat Available,2025-06-24,7
Drivezy,Jaipur,2025-06-06,Convertible,1290,Available,No Info,2025-06-11,5
ZoomCar,Kolkata,2025-06-13,Sedan,1626,Booked,Unlimited Miles,2025-06-26,13
ZoomCar,Jaipur,2024-11-11,Convertible,2351,Available,No Info,2024-11-19,8
Drivezy,Mumbai,2025-03-28,Sedan,3296,Available,Child Seat Available,2025-04-04,7
Carzonrent,Bangalore,2025-02-22,Sedan,3014,Booked,GPS Included,2025-03-02,8
Drivezy,Delhi,2024-12-22,Luxury,1921,Booked,Child Seat Available,2025-01-01,10
Myles,Delhi,2025-08-26,Sedan,3420,Booked,Unlimited Miles,2025-09-06,11
Avis,Jaipur,2025-02-22,Luxury,4305,Booked,Unlimited Miles,2025-02-25,3
Myles,Bangalore,2024-09-27,Hatchback,1750,Booked,Unlimited Miles,2024-10-06,9
Drivezy,Bangalore,2025-07-13,SUV,1214,Booked,Child Seat Available,2025-07-21,8
Avis,Hyderabad,2024-10-12,Hatchback,3963,Available,Insurance Included,2024-10-25,13
Avis,Mumbai,2025-04-01,SUV,2999,Booked,Unlimited Miles,2025-04-04,3
Drivezy,Jaipur,2025-02-22,SUV,2471,Booked,No Info,2025-03-07,13
Avis,Pune,2024-09-26,SUV,3355,Booked,Insurance Included,2024-10-05,9
Carzonrent,Chennai,2024-10-17,Hatchback,2755,Booked,Unlimited Miles,2024-10-20,3
Myles,Delhi,2024-09-17,SUV,3997,Booked,GPS Included,2024-09-25,8
Ola Rentals,Hyderabad,2025-04-03,SUV,4068,Booked,Unlimited Miles,2025-04-10,7
Hertz,Chennai,2024-10-05,Sedan,2136,Available,Insurance Included,2024-10-19,14
Drivezy,Pune,2025-01-24,Luxury,1644,Booked,Insurance Included,2025-01-31,7
ZoomCar,Chennai,2025-01-12,Hatchback,1276,Available,Insurance Included,2025-01-27,15
Myles,Delhi,2025-04-26,Sedan,4401,Available,GPS Included,2025-05-05,9
ZoomCar,Hyderabad,2025-05-16,Hatchback,2479,Booked,GPS Included,2025-05-24,8
Hertz,Mumbai,2024-09-17,SUV,4917,Available,No Info,2024-10-01,14
Carzonrent,Mumbai,2025-04-11,Luxury,1905,Available,Insurance Included,2025-04-17,6
Avis,Kolkata,2025-08-28,SUV,2708,Available,GPS Included,2025-09-10,13
Drivezy,Jaipur,2025-08-01,Luxury,3406,Booked,Unlimited Miles,2025-08-02,1
Drivezy,Chennai,2025-04-21,Sedan,3933,Available,GPS Included,2025-05-05,14
Drivezy,Mumbai,2025-07-18,Luxury,4275,Booked,Child Seat Available,2025-07-31,13
Ola Rentals,Pune,2025-02-10,Sedan,3951,Booked,Unlimited Miles,2025-02-22,12
Drivezy,Kolkata,2025-07-21,SUV,2559,Available,No Info,2025-07-24,3
Drivezy,Kolkata,2025-07-25,Luxury,1523,Booked,Insurance Included,2025-08-02,8
Drivezy,Pune,2024-11-17,Luxury,3323,Available,Unlimited Miles,2024-11-21,4
Myles,Kolkata,2025-08-14,Hatchback,2733,Available,Child Seat Available,2025-08-19,5
Hertz,Bangalore,2025-06-05,SUV,4595,Available,Unlimited Miles,2025-06-12,7
Ola Rentals,Pune,2025-04-19,Luxury,1736,Available,Unlimited Miles,2025-04-28,9
Avis,Bangalore,2025-03-02,Sedan,1617,Available,GPS Included,2025-03-12,10
