Airline,Date_of_Journey,Source,Destination,Dep_Time,Duration,Total_Stops,Additional_Info,Price,Arrival_Time
Air India,2025-01-23,Jaipur,Chennai,11:59,5h 50m,3 stops,In-flight meal not included,10456,17:49
IndiGo,2025-04-23,Jaipur,Bangalore,14:36,7h 31m,2 stops,No Info,8600,22:07
IndiGo,2025-08-26,Chennai,Kolkata,00:58,5h 38m,non-stop,No Info,4552,06:36
Vistara,2025-02-08,Chennai,Jaipur,10:16,2h 49m,3 stops,No Info,2004,13:05
Vistara,2025-01-19,Chennai,Pune,03:28,1h 54m,non-stop,No check-in baggage included,14586,05:22
Air India,2025-08-05,Bangalore,Chennai,06:26,2h 13m,3 stops,No Info,4350,08:39
SpiceJet,2024-12-14,Hyderabad,Delhi,01:58,5h 58m,2 stops,In-flight meal not included,6587,07:56
Alliance Air,2025-07-16,Kolkata,Pune,02:06,5h 31m,3 stops,No Info,5690,07:37
SpiceJet,2025-06-06,Hyderabad,Pune,03:53,9h 29m,2 stops,No Info,9451,13:22
Vistara,2024-09-17,Kolkata,Chennai,21:18,1h 56m,non-stop,In-flight meal not included,14696,23:14
Alliance Air,2025-06-15,Hyderabad,Mumbai,01:55,8h 58m,2 stops,No Info,6962,10:53
Air India,2025-02-16,Kolkata,Jaipur,11:36,8h 40m,3 stops,No check-in baggage included,4264,20:16
AirAsia,2025-06-22,Chennai,Pune,18:04,1h 57m,3 stops,No check-in baggage included,14202,20:01
Vistara,2025-02-22,Bangalore,Jaipur,02:18,1h 58m,3 stops,No Info,13110,04:16
Vistara,2025-07-25,Pune,Jaipur,21:36,9h 21m,3 stops,No Info,9130,06:57
GoAir,2025-01-31,Chennai,Delhi,06:59,9h 22m,2 stops,In-flight meal not included,4301,16:21
Alliance Air,2024-12-01,Pune,Hyderabad,04:29,7h 41m,2 stops,No Info,12830,12:10
Alliance Air,2024-12-24,Pune,Kolkata,02:23,9h 9m,1 stop,No check-in baggage included,10669,11:32
Vistara,2025-04-11,Mumbai,Bangalore,16:22,4h 12m,1 stop,In-flight meal not included,4062,20:34
SpiceJet,2024-10-17,Jaipur,Kolkata,07:08,4h 20m,1 stop,No check-in baggage included,13770,11:28
AirAsia,2025-04-10,Pune,Kolkata,22:59,9h 59m,1 stop,In-flight meal not included,8803,08:58
IndiGo,2025-04-17,Hyderabad,Pune,08:16,3h 5m,non-stop,In-flight meal not included,10208,11:21
Air India,2025-02-14,Delhi,Mumbai,08:14,6h 26m,2 stops,In-flight meal not included,8268,14:40
Alliance Air,2025-08-22,Kolkata,Jaipur,08:51,9h 5m,2 stops,No Info,7838,17:56
IndiGo,2025-03-20,Pune,Bangalore,07:18,3h 18m,2 stops,No Info,4721,10:36
IndiGo,2025-04-24,Pune,Kolkata,08:09,7h 41m,non-stop,No check-in baggage included,13706,15:50
Air India,2025-07-25,Chennai,Jaipur,13:00,7h 37m,1 stop,No Info,10854,20:37
GoAir,2025-08-06,Delhi,Kolkata,15:28,3h 31m,1 stop,No Info,8760,18:59
Alliance Air,2025-04-02,Jaipur,Bangalore,10:58,5h 37m,3 stops,In-flight meal not included,10135,16:35
Alliance Air,2025-08-14,Kolkata,Mumbai,02:09,8h 6m,1 stop,In-flight meal not included,13604,10:15
IndiGo,2024-12-12,Jaipur,Pune,03:56,9h 20m,2 stops,No check-in baggage included,7111,13:16
Air India,2025-06-10,Mumbai,Pune,16:07,3h 1m,non-stop,No Info,10115,19:08
Vistara,2025-01-06,Jaipur,Delhi,15:25,2h 41m,non-stop,No check-in baggage included,4769,18:06
AirAsia,2025-08-25,Mumbai,Pune,08:49,7h 58m,2 stops,No Info,14743,16:47
