Hotel_Name,City,Check_In_Date,Room_Type,Price_Per_Night,Availability_Status,Additional_Info,Check_Out_Date,Total_Nights
Ocean View,Chennai,2025-08-01,Deluxe,12511,Available,Airport Shuttle,2025-08-02,1
Ocean View,Mumbai,2024-12-15,Double,14167,Fully Booked,Airport Shuttle,2024-12-21,6
City Inn,Hyderabad,2024-12-31,Single,10775,Available,No Info,2025-01-02,2
Ocean View,Jaipur,2025-06-22,Double,12344,Fully Booked,Pool Access Included,2025-06-23,1
Mountain Lodge,Hyderabad,2024-09-21,Deluxe,9169,Fully Booked,No Info,2024-09-28,7
Hotel Grand,Bangalore,2025-02-20,Deluxe,9788,Available,Pool Access Included,2025-02-23,3
Mountain Lodge,Mumbai,2025-07-18,Suite,3830,Available,Free Wi-Fi,2025-07-23,5
City Inn,Mumbai,2025-06-06,Double,11967,Available,Pool Access Included,2025-06-07,1
Comfort Stay,Hyderabad,2025-08-23,Double,10283,Fully Booked,Airport Shuttle,2025-08-29,6
The Luxe,Chennai,2025-08-21,Single,11235,Fully Booked,Airport Shuttle,2025-08-31,10
Royal Palace,Kolkata,2024-09-15,Single,3820,Available,No Info,2024-09-16,1
Mountain Lodge,Hyderabad,2024-10-28,Double,5045,Fully Booked,Free Wi-Fi,2024-11-07,10
City Inn,Kolkata,2025-08-26,Suite,4936,Fully Booked,Free Wi-Fi,2025-09-03,8
Ocean View,Hyderabad,2024-12-10,Single,4475,Available,Airport Shuttle,2024-12-13,3
Ocean View,Delhi,2024-10-10,Deluxe,7888,Fully Booked,Free Wi-Fi,2024-10-15,5
Ocean View,Hyderabad,2025-07-19,Single,2544,Fully Booked,Free Wi-Fi,2025-07-27,8
The Luxe,Bangalore,2024-09-02,Suite,11649,Fully Booked,Free Wi-Fi,2024-09-05,3
Mountain Lodge,Hyderabad,2024-10-01,Suite,11799,Fully Booked,Pool Access Included,2024-10-04,3
Comfort Stay,Delhi,2025-06-01,Deluxe,10808,Available,Pool Access Included,2025-06-07,6
Royal Palace,Chennai,2025-06-21,Deluxe,4837,Fully Booked,Free Wi-Fi,2025-06-30,9
Ocean View,Hyderabad,2025-07-17,Suite,4156,Available,Breakfast Included,2025-07-20,3
Hotel Grand,Kolkata,2025-05-27,Deluxe,3033,Fully Booked,Free Wi-Fi,2025-06-01,5
The Luxe,Pune,2025-04-23,Double,11082,Available,Free Wi-Fi,2025-05-02,9
Hotel Grand,Pune,2024-10-01,Single,6004,Fully Booked,Breakfast Included,2024-10-02,1
Hotel Grand,Chennai,2024-12-27,Single,5518,Available,Airport Shuttle,2025-01-06,10
Royal Palace,Hyderabad,2025-05-17,Single,5574,Fully Booked,Breakfast Included,2025-05-21,4
Royal Palace,Jaipur,2025-07-02,Suite,6543,Available,No Info,2025-07-03,1
Mountain Lodge,Hyderabad,2024-09-08,Double,14503,Available,Free Wi-Fi,2024-09-11,3
City Inn,Pune,2025-05-29,Suite,3885,Available,Breakfast Included,2025-06-01,3
City Inn,Jaipur,2025-06-08,Deluxe,14487,Available,Airport Shuttle,2025-06-15,7
Mountain Lodge,Delhi,2025-06-18,Suite,2440,Fully Booked,Free Wi-Fi,2025-06-26,8
Royal Palace,Chennai,2025-06-16,Suite,2819,Fully Booked,Free Wi-Fi,2025-06-22,6
Mountain Lodge,Kolkata,2025-02-27,Suite,14457,Available,Airport Shuttle,2025-03-07,8
Ocean View,Delhi,2025-07-30,Single,5652,Fully Booked,Airport Shuttle,2025-08-05,6
Ocean View,Bangalore,2025-01-09,Single,13303,Available,Breakfast Included,2025-01-11,2
Royal Palace,Kolkata,2024-09-07,Suite,11483,Fully Booked,No Info,2024-09-12,5
The Luxe,Kolkata,2025-07-14,Single,5636,Fully Booked,Free Wi-Fi,2025-07-22,8
The Luxe,Jaipur,2025-06-24,Single,4546,Fully Booked,No Info,2025-07-01,7
Ocean View,Hyderabad,2024-10-15,Deluxe,7213,Available,Free Wi-Fi,2024-10-21,6
Comfort Stay,Kolkata,2025-07-15,Double,13590,Fully Booked,Pool Access Included,2025-07-21,6
Royal Palace,Hyderabad,2025-05-28,Single,13149,Available,Pool Access Included,2025-06-05,8
Comfort Stay,Kolkata,2025-02-05,Deluxe,6879,Fully Booked,Airport Shuttle,2025-02-11,6
The Luxe,Delhi,2025-05-30,Double,3505,Available,Pool Access Included,2025-06-06,7
Ocean View,Hyderabad,2025-08-22,Single,14469,Fully Booked,Airport Shuttle,2025-08-25,3
The Luxe,Kolkata,2025-04-04,Double,9831,Available,Free Wi-Fi,2025-04-05,1
Ocean View,Hyderabad,2025-06-01,Single,5639,Available,Breakfast Included,2025-06-09,8
Hotel Grand,Chennai,2025-05-02,Suite,3795,Fully Booked,Breakfast Included,2025-05-09,7
Hotel Grand,Bangalore,2025-07-11,Suite,12758,Fully Booked,Breakfast Included,2025-07-12,1
Comfort Stay,Chennai,2025-04-24,Suite,6554,Fully Booked,Breakfast Included,2025-04-25,1
City Inn,Delhi,2025-08-20,Suite,4944,Available,Free Wi-Fi,2025-08-27,7
Royal Palace,Pune,2025-05-18,Double,12442,Available,Breakfast Included,2025-05-19,1
Royal Palace,Pune,2025-03-04,Deluxe,9646,Available,Free Wi-Fi,2025-03-10,6
Royal Palace,Mumbai,2024-12-30,Double,8756,Fully Booked,Pool Access Included,2025-01-03,4
Ocean View,Mumbai,2025-08-03,Suite,12486,Available,No Info,2025-08-10,7
Royal Palace,Kolkata,2025-08-30,Suite,8411,Available,No Info,2025-09-07,8
Mountain Lodge,Bangalore,2025-05-18,Suite,4655,Available,Breakfast Included,2025-05-27,9
Ocean View,Bangalore,2025-07-21,Double,6127,Fully Booked,Breakfast Included,2025-07-22,1
Comfort Stay,Bangalore,2024-09-11,Single,7301,Fully Booked,Airport Shuttle,2024-09-19,8
Comfort Stay,Chennai,2025-03-20,Deluxe,7541,Available,Pool Access Included,2025-03-23,3
Royal Palace,Hyderabad,2025-02-13,Single,2325,Available,No Info,2025-02-17,4
Royal Palace,Jaipur,2025-08-13,Deluxe,3743,Available,Breakfast Included,2025-08-16,3
Comfort Stay,Hyderabad,2025-07-21,Single,3988,Available,Pool Access Included,2025-07-31,10
Ocean View,Bangalore,2025-05-19,Single,4594,Available,Pool Access Included,2025-05-27,8
Royal Palace,Bangalore,2024-12-24,Double,8877,Fully Booked,Breakfast Included,2024-12-26,2
City Inn,Jaipur,2024-12-04,Single,2619,Available,No Info,2024-12-06,2
Mountain Lodge,Kolkata,2025-03-02,Suite,6984,Available,No Info,2025-03-12,10
Hotel Grand,Jaipur,2025-01-16,Double,12839,Available,No Info,2025-01-20,4
Ocean View,Kolkata,2024-09-07,Suite,10427,Available,Pool Access Included,2024-09-11,4
Comfort Stay,Jaipur,2025-03-16,Single,11787,Fully Booked,Airport Shuttle,2025-03-19,3
Ocean View,Chennai,2025-06-18,Deluxe,12090,Available,Airport Shuttle,2025-06-20,2
The Luxe,Delhi,2025-03-17,Single,4165,Available,Free Wi-Fi,2025-03-19,2
Ocean View,Hyderabad,2024-11-29,Double,5132,Fully Booked,Breakfast Included,2024-12-07,8
Comfort Stay,Mumbai,2025-04-18,Single,3284,Available,Free Wi-Fi,2025-04-28,10
The Luxe,Pune,2025-02-08,Deluxe,12918,Available,Breakfast Included,2025-02-18,10
Hotel Grand,Bangalore,2025-04-22,Deluxe,8207,Available,Free Wi-Fi,2025-04-23,1
Mountain Lodge,Kolkata,2025-01-19,Deluxe,7266,Fully Booked,Airport Shuttle,2025-01-29,10
Ocean View,Hyderabad,2025-06-27,Single,6553,Available,No Info,2025-07-03,6
The Luxe,Delhi,2025-03-01,Deluxe,10966,Available,Pool Access Included,2025-03-09,8
Comfort Stay,Hyderabad,2024-10-27,Single,9685,Available,Free Wi-Fi,2024-10-31,4
Royal Palace,Jaipur,2025-08-19,Deluxe,4047,Available,Breakfast Included,2025-08-21,2
The Luxe,Delhi,2024-12-12,Deluxe,11020,Fully Booked,Breakfast Included,2024-12-15,3
Royal Palace,Jaipur,2025-06-07,Suite,9706,Fully Booked,No Info,2025-06-09,2
The Luxe,Bangalore,2024-09-30,Suite,4647,Fully Booked,Airport Shuttle,2024-10-06,6
Comfort Stay,Chennai,2025-03-28,Double,8674,Fully Booked,Breakfast Included,2025-04-04,7
Royal Palace,Chennai,2025-08-08,Double,5658,Fully Booked,Pool Access Included,2025-08-11,3
Ocean View,Hyderabad,2024-09-07,Deluxe,11952,Fully Booked,No Info,2024-09-10,3
Mountain Lodge,Mumbai,2024-11-07,Double,4433,Fully Booked,No Info,2024-11-08,1
Ocean View,Delhi,2025-03-18,Double,7659,Fully Booked,Airport Shuttle,2025-03-20,2
Royal Palace,Pune,2025-08-11,Double,14724,Available,Pool Access Included,2025-08-13,2
City Inn,Delhi,2025-01-17,Single,11814,Fully Booked,Breakfast Included,2025-01-23,6
The Luxe,Pune,2025-02-11,Double,3506,Fully Booked,Breakfast Included,2025-02-20,9
Mountain Lodge,Bangalore,2025-07-26,Double,8293,Available,Airport Shuttle,2025-07-28,2
Hotel Grand,Bangalore,2025-04-26,Single,11191,Fully Booked,Free Wi-Fi,2025-04-30,4
Royal Palace,Hyderabad,2024-09-13,Suite,11568,Available,Breakfast Included,2024-09-21,8
The Luxe,Delhi,2024-10-12,Double,12669,Fully Booked,Free Wi-Fi,2024-10-18,6
Mountain Lodge,Delhi,2024-11-15,Suite,8508,Fully Booked,Airport Shuttle,2024-11-17,2
Mountain Lodge,Hyderabad,2024-09-03,Double,5407,Available,Airport Shuttle,2024-09-07,4
Ocean View,Chennai,2025-02-07,Single,11091,Available,Pool Access Included,2025-02-10,3
