City,Advisory_Date,Advisory_Level,Reason,Affected_Routes,Additional_Info,Validity
Delhi,2025-06-30,Low,Political unrest,Mumbai to Chennai,No Info,1 day
Bangalore,2024-10-29,Severe,Weather,Pune to Bangalore,No Info,Indefinite
Jaipur,2025-06-10,Low,Security concerns,Jaipur to Kolkata,Avoid non-essential travel,1 week
Kolkata,2025-04-25,High,Security concerns,Chennai to Delhi,Monitor local news,1 week
Chennai,2025-04-09,Low,Security concerns,Kolkata to Hyderabad,Monitor local news,3 days
Delhi,2025-05-10,Severe,Infrastructure issues,Kolkata to Pune,Monitor local news,3 days
Delhi,2025-03-04,High,Security concerns,Delhi to Hyderabad,Check with airlines,1 week
Jaipur,2025-08-26,High,Weather,Mumbai to Jaipur,Follow local guidelines,Indefinite
Delhi,2025-05-16,High,Political unrest,Bangalore to Mumbai,Follow local guidelines,1 week
Mumbai,2025-04-25,High,Security concerns,Chennai to Hyderabad,No Info,Indefinite
Pune,2025-02-01,Severe,Infrastructure issues,Bangalore to Mumbai,Avoid non-essential travel,1 day
Kolkata,2025-05-20,Severe,Health advisory,Kolkata to Pune,Follow local guidelines,1 week
Chennai,2025-07-08,High,Weather,Chennai to Jaipur,Follow local guidelines,3 days
Jaipur,2025-02-26,Low,Security concerns,Bangalore to Pune,Monitor local news,3 days
Jaipur,2025-06-06,Moderate,Weather,Jaipur to Mumbai,Follow local guidelines,1 day
Chennai,2025-03-22,Severe,Political unrest,Jaipur to Bangalore,Check with airlines,Indefinite
Delhi,2025-02-12,Severe,Infrastructure issues,Chennai to Delhi,Follow local guidelines,1 day
Pune,2025-03-24,Low,Political unrest,Delhi to Kolkata,Monitor local news,3 days
Pune,2024-09-29,Severe,Security concerns,Hyderabad to Mumbai,Check with airlines,1 day
Hyderabad,2024-11-16,Moderate,Weather,Hyderabad to Bangalore,Monitor local news,1 week
Chennai,2025-01-17,High,Health advisory,Pune to Chennai,Avoid non-essential travel,3 days
Bangalore,2024-11-16,Moderate,Infrastructure issues,Mumbai to Bangalore,Follow local guidelines,1 day
Chennai,2025-03-02,Moderate,Weather,Mumbai to Jaipur,Follow local guidelines,Indefinite
Bangalore,2024-10-07,Severe,Infrastructure issues,Mumbai to Hyderabad,No Info,Indefinite
Jaipur,2024-11-08,Low,Weather,Kolkata to Pune,Follow local guidelines,3 days
Pune,2024-11-15,High,Security concerns,Delhi to Bangalore,No Info,1 week
Jaipur,2024-10-27,Severe,Weather,Bangalore to Chennai,Follow local guidelines,Indefinite
Pune,2025-05-12,Severe,Weather,Delhi to Jaipur,Avoid non-essential travel,3 days
Bangalore,2025-03-23,High,Security concerns,Pune to Jaipur,Avoid non-essential travel,Indefinite
Jaipur,2025-07-03,High,Infrastructure issues,Hyderabad to Mumbai,Follow local guidelines,1 day
Jaipur,2025-05-17,Severe,Health advisory,Bangalore to Hyderabad,Monitor local news,3 days
Bangalore,2025-02-14,High,Infrastructure issues,Jaipur to Chennai,Check with airlines,Indefinite
Delhi,2025-02-24,Moderate,Security concerns,Hyderabad to Chennai,Monitor local news,1 day
Mumbai,2025-07-20,Moderate,Infrastructure issues,Chennai to Pune,Avoid non-essential travel,Indefinite
Bangalore,2025-08-27,Low,Security concerns,Chennai to Kolkata,Check with airlines,Indefinite
Pune,2024-11-27,Severe,Infrastructure issues,Pune to Jaipur,Avoid non-essential travel,1 week
Delhi,2025-05-01,Low,Weather,Kolkata to Pune,Avoid non-essential travel,1 day
Jaipur,2025-06-30,Moderate,Health advisory,Chennai to Mumbai,Check with airlines,3 days
